Time,I
2.025,14.035157810627243
2.0260000000000002,14.037155413503791
2.027,14.03915301638034
2.028,14.041150619256891
2.029,14.04314822213344
2.0300000000000002,14.045145825009987
2.031,14.047143427886535
2.032,14.049141030763083
2.033,14.051138633639631
2.0340000000000003,14.05313623651618
2.035,14.055133839392727
2.036,14.057131442269275
2.037,14.059129045145824
2.0380000000000003,14.061126648022372
2.039,14.06312425089892
2.04,14.065121853775468
2.041,14.067119456652016
2.0420000000000003,14.069117059528564
2.043,14.071114662405112
2.044,14.07311226528166
2.045,14.075109868158208
2.0460000000000003,14.077107471034758
2.047,14.079105073911306
2.048,14.081102676787854
2.049,14.083100279664402
2.05,14.08509788254095
2.051,14.087095485417498
2.052,14.089093088294046
2.053,14.091090691170594
2.054,14.093088294047142
2.055,14.09508589692369
2.056,14.097083499800238
2.057,14.099081102676786
2.058,14.101078705553334
2.059,14.103076308429882
2.06,14.10507391130643
2.061,14.107071514182978
2.062,14.109069117059526
2.063,14.111066719936074
2.064,14.113064322812624
2.065,14.115061925689172
2.066,14.11705952856572
2.067,14.119057131442268
2.068,14.121054734318816
2.069,14.123052337195364
2.07,14.125049940071913
2.071,14.12704754294846
2.072,14.129045145825009
2.073,14.131042748701557
2.074,14.133040351578105
2.075,14.135037954454653
2.076,14.1370355573312
2.077,14.139033160207749
2.078,14.141030763084297
2.079,14.143028365960843
2.08,14.145025968837391
2.081,14.14702357171394
2.082,14.14902117459049
2.083,14.15101877746704
2.084,14.153016380343589
2.085,14.155013983220137
2.086,14.157011586096685
2.087,14.159009188973233
2.088,14.16100679184978
2.089,14.163004394726329
2.09,14.165001997602875
2.091,14.166999600479423
2.092,14.168997203355971
2.093,14.17099480623252
2.094,14.172992409109067
2.095,14.174990011985615
2.096,14.176987614862163
2.097,14.178985217738711
2.098,14.18098282061526
2.099,14.182980423491808
2.1,14.184978026368356
2.101,14.186975629244904
2.102,14.188973232121452
2.103,14.190970834998
2.104,14.19296843787455
2.105,14.194966040751098
2.106,14.196963643627646
2.107,14.198961246504194
2.108,14.200958849380742
2.109,14.20295645225729
2.11,14.204954055133838
2.111,14.206951658010386
2.112,14.208949260886934
2.113,14.210946863763482
2.114,14.21294446664003
2.115,14.214942069516578
2.116,14.216939672393126
2.117,14.218937275269674
2.118,14.220934878146224
2.119,14.222932481022772
2.12,14.22493008389932
2.121,14.226927686775868
2.122,14.228925289652416
2.123,14.230922892528964
2.124,14.232920495405512
2.125,14.23491809828206
2.126,14.236915701158608
2.1270000000000002,14.238913304035156
2.128,14.240910906911704
2.129,14.242908509788252
2.13,14.2449061126648
2.1310000000000002,14.246903715541348
2.132,14.248901318417897
2.133,14.250898921294445
2.134,14.252896524170993
2.1350000000000002,14.25489412704754
2.136,14.25689172992409
2.137,14.25888933280064
2.138,14.260886935677188
2.1390000000000002,14.262884538553736
2.14,14.264882141430284
2.141,14.26687974430683
2.142,14.26887734718338
2.1430000000000002,14.270874950059929
2.144,14.272872552936477
2.145,14.274870155813025
2.146,14.276867758689573
2.1470000000000002,14.27886536156612
2.148,14.280862964442669
2.149,14.282860567319217
2.15,14.284858170195765
2.1510000000000002,14.286855773072311
2.152,14.28885337594886
2.153,14.290850978825407
2.154,14.292848581701955
2.1550000000000002,14.294846184578503
2.156,14.296843787455051
2.157,14.2988413903316
2.158,14.30083899320815
2.1590000000000003,14.302836596084695
2.16,14.304834198961244
2.161,14.306831801837792
2.162,14.30882940471434
2.1630000000000003,14.31082700759089
2.164,14.312824610467436
2.165,14.314822213343986
2.166,14.316819816220534
2.1670000000000003,14.318817419097082
2.168,14.32081502197363
2.169,14.322812624850178
2.17,14.324810227726726
2.1710000000000003,14.326807830603274
2.172,14.328805433479824
2.173,14.330803036356372
2.174,14.33280063923292
2.1750000000000003,14.334798242109468
2.176,14.336795844986016
2.177,14.338793447862564
2.178,14.340791050739112
2.179,14.34278865361566
2.18,14.344786256492208
2.181,14.346783859368756
2.182,14.348781462245304
2.183,14.350779065121852
2.184,14.3527766679984
2.185,14.354774270874948
2.186,14.356771873751496
2.187,14.358769476628044
2.188,14.360767079504592
2.189,14.36276468238114
2.19,14.36476228525769
2.191,14.366759888134238
2.192,14.368757491010786
2.193,14.370755093887334
2.194,14.372752696763882
2.195,14.37475029964043
2.196,14.376747902516978
2.197,14.378745505393526
2.198,14.380743108270076
2.199,14.382740711146624
2.2,14.38473831402317
2.201,14.38673591689972
2.202,14.388733519776268
2.203,14.390731122652817
2.204,14.392728725529365
2.205,14.39472632840591
2.206,14.39672393128246
2.207,14.398721534159009
2.208,14.400719137035557
2.209,14.402716739912105
2.21,14.404714342788653
2.211,14.4067119456652
2.212,14.408709548541747
2.213,14.410707151418295
2.214,14.412704754294843
2.215,14.414702357171391
